Unnamed: 0,Pclass,Sex,SibSp,Fare,Embarked,Deck,Title,port_sex,Age_bin,FamilySize,Ticket_freq
331,1,0,0,28,0,3,1,623,8,790,1
733,2,0,0,13,0,8,1,623,3,790,1
382,3,0,0,7,0,8,1,623,6,790,1
704,3,0,1,7,0,8,1,623,4,437,1
813,3,1,4,31,0,8,2,293,0,35,7
118,1,0,0,247,1,2,1,157,3,437,3
536,1,0,0,26,0,2,5,623,8,790,1
361,2,0,1,27,1,8,1,157,5,437,2
29,3,0,0,7,0,8,1,623,6,790,1
55,1,0,0,35,0,3,1,623,5,790,1
865,2,1,0,13,0,8,3,293,8,790,1
595,3,0,1,24,0,8,1,623,7,437,3
239,2,0,0,12,0,8,1,623,6,790,1
721,3,0,1,7,0,8,1,623,1,437,1
81,3,0,0,9,0,8,1,623,5,790,1
259,2,1,0,26,0,8,3,293,9,437,2
486,1,1,1,90,0,3,3,293,6,437,2
716,1,1,0,227,1,3,2,113,7,790,5
800,2,0,0,13,0,8,1,623,6,790,2
781,1,1,1,57,0,2,3,293,1,437,2
542,3,1,4,31,0,8,2,293,0,35,7
326,3,0,0,6,0,8,1,623,9,790,1
534,3,1,0,8,0,8,2,293,5,790,1
535,2,1,0,26,0,8,2,293,0,437,3
483,3,1,0,9,0,8,3,293,9,790,1
762,3,0,0,7,1,8,1,157,2,790,1
533,3,1,0,22,1,8,3,113,3,437,3
713,3,0,0,9,0,8,1,623,5,790,1
390,1,0,1,120,0,2,1,623,7,437,4
495,3,0,0,14,1,8,1,157,1,790,2
482,3,0,0,8,0,8,1,623,9,790,1
377,1,0,0,211,1,3,1,157,4,437,5
365,3,0,0,7,0,8,1,623,5,790,1
412,1,1,1,90,2,3,2,60,6,437,3
468,3,0,0,7,2,8,1,63,1,790,1
409,3,1,3,25,0,8,2,293,7,47,5
7,3,0,3,21,0,8,4,623,0,47,5
580,2,1,1,30,0,8,2,293,4,437,2
155,1,0,0,61,1,8,1,157,9,437,2
880,2,1,0,26,0,8,3,293,4,437,2
425,3,0,0,7,0,8,1,623,3,790,1
101,3,0,0,7,0,8,1,623,2,790,1
199,2,1,0,13,0,8,2,293,3,790,1
424,3,0,1,20,0,8,1,623,1,437,3
298,1,0,0,30,0,3,1,623,7,790,1
884,3,0,0,7,0,8,1,623,4,790,1
247,2,1,0,14,0,8,3,293,3,437,2
478,3,0,0,7,0,8,1,623,2,790,1
305,1,0,1,151,0,3,4,623,0,437,6
316,2,1,1,26,0,8,3,293,3,437,2
2,3,1,0,7,0,8,2,293,4,790,1
405,2,0,1,21,0,8,1,623,6,437,2
742,1,1,2,262,1,2,2,113,2,47,7
260,3,0,0,7,2,8,1,63,7,790,1
367,3,1,0,7,1,8,3,113,0,790,1
158,3,0,0,8,0,8,1,623,4,790,1
554,3,1,0,7,0,8,2,293,2,790,1
829,1,1,0,80,0,2,3,293,9,790,2
677,3,1,0,9,0,8,2,293,1,790,1
380,1,1,0,227,1,8,2,113,8,790,5
626,2,0,0,12,2,8,5,63,9,790,1
302,3,0,0,0,0,8,1,623,1,790,4
432,2,1,1,26,0,8,3,293,8,437,2
522,3,0,0,7,1,8,1,157,7,790,1
404,3,1,0,8,0,8,2,293,2,790,1
843,3,0,0,6,1,8,1,157,6,790,1
355,3,0,0,9,0,8,1,623,4,790,1
464,3,0,0,8,0,8,1,623,1,790,1
753,3,0,0,7,0,8,1,623,3,790,1
212,3,0,0,7,0,8,1,623,2,790,1
449,1,0,0,30,0,3,5,623,9,790,1
79,3,1,0,12,0,8,2,293,5,790,2
148,2,0,0,26,0,6,1,623,7,437,3
428,3,0,0,7,2,8,1,63,3,790,1
60,3,0,0,7,1,8,1,157,2,790,1
660,1,0,2,133,0,8,5,623,9,437,2
804,3,0,0,6,0,8,1,623,4,790,1
588,3,0,0,8,0,8,1,623,2,790,1
765,1,1,1,77,0,4,3,293,9,437,3
265,2,0,0,10,0,8,1,623,7,790,1
133,2,1,1,26,0,8,3,293,5,437,2
708,1,1,0,151,0,8,2,293,2,790,6
544,1,0,1,106,1,3,1,157,9,437,3
346,2,1,0,13,0,8,2,293,7,790,1
821,3,0,0,8,0,8,1,623,4,790,1
633,1,0,0,0,0,8,1,623,7,790,1
456,1,0,0,26,0,5,1,623,9,790,1
500,3,0,0,8,0,8,1,623,1,790,1
430,1,0,0,26,0,3,1,623,5,790,1
445,1,0,0,81,0,1,4,623,0,437,3
650,3,0,0,7,0,8,1,623,1,790,1
172,3,1,1,11,0,8,2,293,0,437,3
450,2,0,1,27,0,8,1,623,7,437,4
314,2,0,1,26,0,8,1,623,8,437,3
332,1,0,0,153,0,3,1,623,7,437,3
801,2,1,1,26,0,8,3,293,6,437,3
90,3,0,0,8,0,8,1,623,5,790,1
834,3,0,0,8,0,8,1,623,1,790,1
181,2,0,0,15,1,8,1,157,4,790,1
581,1,1,1,110,1,3,3,113,7,437,4
795,2,0,0,13,0,8,1,623,7,790,1
69,3,0,2,8,0,8,1,623,4,437,1
131,3,0,0,7,0,8,1,623,2,790,1
334,1,1,1,133,0,8,3,293,4,437,2
597,3,0,0,0,0,8,1,623,9,790,4
135,2,0,0,15,1,8,1,157,3,790,1
164,3,0,4,39,0,8,4,623,0,47,7
28,3,1,0,7,2,8,2,60,3,790,1
783,3,0,1,23,0,8,1,623,2,437,4
193,2,0,1,26,0,6,4,623,0,437,3
869,3,0,1,11,0,8,4,623,0,437,3
715,3,0,0,7,0,6,1,623,1,790,1
525,3,0,0,7,2,8,1,63,7,790,1
381,3,1,0,15,1,8,2,113,0,437,3
140,3,1,0,15,1,8,3,113,3,437,3
173,3,0,0,7,0,8,1,623,2,790,1
6,1,0,0,51,0,5,1,623,9,790,2
718,3,0,0,15,2,8,1,63,2,790,2
685,2,0,1,41,1,8,1,157,4,437,4
73,3,0,1,14,1,8,1,157,4,437,2
882,3,1,0,10,0,8,2,293,2,790,1
328,3,1,1,20,0,8,3,293,5,437,3
453,1,0,1,89,1,3,1,157,9,437,2
145,2,0,1,36,0,8,1,623,1,437,4
234,2,0,0,10,0,8,1,623,3,790,1
220,3,0,0,8,0,8,1,623,1,790,1
370,1,0,1,55,1,5,1,157,3,437,2
811,3,0,0,24,0,8,1,623,7,790,3
132,3,1,1,14,0,8,3,293,8,437,2
694,1,0,0,26,0,8,5,623,9,790,1
864,2,0,0,13,0,8,1,623,3,790,1
185,1,0,0,50,0,1,1,623,4,790,1
41,2,1,1,21,0,8,3,293,4,437,2
547,2,0,0,13,1,8,1,157,8,790,1
108,3,0,0,7,0,8,1,623,7,790,1
603,3,0,0,8,0,8,1,623,8,790,1
56,2,1,0,10,0,8,2,293,2,790,1
394,3,1,0,16,0,7,3,293,3,437,3
706,2,1,0,13,0,8,3,293,8,790,1
549,2,0,1,36,0,8,4,623,0,437,4
24,3,1,3,21,0,8,2,293,0,47,5
351,1,0,0,35,0,3,1,623,7,790,1
429,3,0,0,8,0,5,1,623,6,790,1
434,1,0,1,55,0,5,1,623,9,437,2
51,3,0,0,7,0,8,1,623,2,790,1
526,2,1,0,10,0,8,2,293,9,790,1
816,3,1,0,7,0,8,2,293,3,790,1
569,3,0,0,7,0,8,1,623,6,790,1
264,3,1,0,7,2,8,2,60,7,790,1
436,3,1,2,34,0,8,2,293,2,47,5
613,3,0,0,7,2,8,1,63,0,790,1
693,3,0,0,7,1,8,1,157,4,790,1
352,3,0,1,7,1,8,1,157,0,437,1
18,3,1,1,18,0,8,3,293,5,437,2
666,2,0,0,13,0,8,1,623,4,790,1
582,2,0,0,26,0,8,1,623,9,790,2
83,1,0,0,47,0,8,1,623,4,790,2
61,1,1,0,80,0,2,2,293,7,790,2
272,2,1,0,19,0,8,3,293,8,437,2
285,3,0,0,8,1,8,1,157,6,790,1
695,2,0,0,13,0,8,1,623,9,790,1
746,3,0,1,20,0,8,1,623,1,437,3
12,3,0,0,8,0,8,1,623,2,790,1
182,3,0,4,31,0,8,4,623,0,35,7
444,3,0,0,8,0,8,1,623,6,790,1
552,3,0,0,7,2,8,1,63,6,790,1
223,3,0,0,7,0,8,1,623,2,790,1
513,1,1,1,59,1,8,3,113,9,437,2
628,3,0,0,7,0,8,1,623,4,790,1
587,1,0,1,79,1,2,1,157,9,437,2
692,3,0,0,56,0,8,1,623,8,790,8
523,1,1,0,57,1,2,3,113,8,437,2
664,3,0,1,7,0,8,1,623,2,437,1
176,3,0,3,25,0,8,4,623,3,47,5
841,2,0,0,10,0,8,1,623,1,790,2
678,3,1,1,46,0,8,3,293,8,35,8
163,3,0,0,8,0,8,1,623,1,790,1
248,1,0,1,52,0,4,1,623,7,437,2
570,2,0,0,10,0,8,1,623,9,790,1
787,3,0,4,29,2,8,4,63,0,47,6
74,3,0,0,56,0,8,1,623,6,790,8
113,3,1,1,9,0,8,2,293,2,437,1
635,2,1,0,13,0,8,2,293,5,790,1
501,3,1,0,7,2,8,2,60,2,790,1
104,3,0,2,7,0,8,1,623,7,437,1
114,3,1,0,14,1,8,2,113,1,790,2
368,3,1,0,7,2,8,2,60,4,790,1
92,1,0,1,61,0,5,1,623,8,437,2
497,3,0,0,15,0,8,1,623,6,790,2
89,3,0,0,8,0,8,1,623,3,790,1
336,1,0,1,66,0,3,1,623,5,437,2
879,1,1,0,83,1,3,3,113,9,437,3
817,2,0,1,37,1,8,1,157,6,437,3
828,3,0,0,7,2,8,1,63,2,790,1
543,2,0,1,26,0,8,1,623,6,437,2
548,3,0,1,20,0,8,1,623,6,437,3
94,3,0,0,7,0,8,1,623,9,790,1
11,1,1,0,26,0,3,2,293,9,790,1
431,3,1,1,16,0,8,3,293,1,437,2
43,2,1,1,41,1,8,2,113,0,437,4
42,3,0,0,7,1,8,1,157,8,790,1
329,1,1,0,57,1,2,2,113,1,437,2
167,3,1,1,27,0,8,3,293,8,47,6
779,1,1,0,211,0,2,3,293,8,437,4
537,1,1,0,106,1,8,2,113,5,790,3
735,3,0,0,16,0,8,1,623,5,790,2
499,3,0,0,7,0,8,1,623,3,790,1
178,2,0,0,13,0,8,1,623,5,790,1
583,1,0,0,40,1,1,1,157,7,790,1
784,3,0,0,7,0,8,1,623,4,790,1
593,3,1,0,7,2,8,2,60,1,437,1
177,1,1,0,28,1,3,2,113,9,790,1
644,3,1,2,19,1,8,2,113,0,437,4
710,1,1,0,49,1,3,2,113,3,790,1
615,2,1,1,65,0,8,2,293,3,437,5
383,1,1,1,52,0,8,3,293,6,437,2
257,1,1,0,86,0,2,2,293,5,790,3
734,2,0,0,13,0,8,1,623,3,790,1
335,3,0,0,7,0,8,1,623,4,790,1
551,2,0,0,26,0,8,1,623,4,790,2
15,2,1,0,16,0,8,3,293,9,790,1
3,1,1,1,53,0,3,3,293,6,437,2
411,3,0,0,6,2,8,1,63,7,790,1
256,1,1,0,79,1,8,3,113,0,790,2
451,3,0,1,19,0,8,1,623,2,437,1
473,2,1,0,13,1,4,3,113,3,790,1
697,3,1,0,7,2,8,2,60,5,790,1
393,1,1,1,113,1,4,2,113,3,437,3
222,3,0,0,8,0,8,1,623,9,790,1
506,2,1,0,26,0,8,3,293,6,437,3
567,3,1,0,21,0,8,3,293,5,47,5
420,3,0,0,7,1,8,1,157,0,790,1
324,3,0,8,69,0,8,1,623,2,35,11
530,2,1,1,26,0,8,2,293,0,437,3
9,2,1,1,30,1,8,3,113,0,437,2
249,2,0,1,26,0,8,5,623,9,437,2
22,3,1,0,8,2,8,2,60,0,790,1
356,1,1,0,55,0,5,2,293,2,437,2
221,2,0,0,13,0,8,1,623,4,790,1
601,3,0,0,7,0,8,1,623,1,790,1
766,1,0,0,39,1,8,5,157,8,790,1
874,2,1,1,24,1,8,3,113,5,437,2
528,3,0,0,7,0,8,1,623,7,790,1
340,2,0,1,26,0,6,4,623,0,437,3
743,3,0,1,16,0,8,1,623,3,437,2
519,3,0,0,7,0,8,1,623,6,790,1
203,3,0,0,7,1,8,1,157,8,790,1
237,2,1,0,26,0,8,2,293,0,437,3
93,3,0,1,20,0,8,1,623,4,437,4
730,1,1,0,211,0,2,2,293,5,790,4
440,2,1,1,26,0,8,3,293,8,437,3
559,3,1,1,17,0,8,3,293,7,437,2
284,1,0,0,26,0,1,1,623,7,790,1
184,3,1,0,22,0,8,2,293,0,437,3
791,2,0,0,26,0,8,1,623,1,790,2
487,1,0,0,29,1,2,1,157,9,790,1
153,3,0,0,14,0,8,1,623,7,437,3
75,3,0,0,7,0,6,1,623,3,790,1
656,3,0,0,7,0,8,1,623,3,790,1
631,3,0,0,7,0,8,1,623,9,790,1
277,2,0,0,0,0,8,1,623,6,790,3
68,3,1,4,7,0,8,2,293,1,35,1
825,3,0,0,6,2,8,1,63,2,790,1
188,3,0,1,15,2,8,1,63,7,437,2
271,3,0,0,0,0,8,1,623,3,790,4
662,1,0,0,25,0,5,1,623,8,790,1
711,1,0,0,26,0,3,1,623,2,790,1
236,2,0,1,26,0,8,1,623,8,437,2
88,1,1,3,263,0,3,2,293,3,47,6
757,2,0,0,11,0,8,1,623,1,790,1
117,2,0,1,21,0,8,1,623,5,437,2
125,3,0,1,11,1,8,4,157,0,437,2
731,3,0,0,18,1,8,1,157,0,790,2
289,3,1,0,7,2,8,2,60,2,790,1
238,2,0,0,10,0,8,1,623,1,790,1
0,3,0,1,7,0,8,1,623,2,437,1
881,3,0,0,7,0,8,1,623,6,790,1
467,1,0,0,26,0,8,1,623,9,790,1
827,2,0,0,37,1,8,4,157,0,437,3
395,3,0,0,7,0,8,1,623,2,790,1
531,3,0,0,7,1,8,1,157,2,790,1
126,3,0,0,7,2,8,1,63,3,790,1
278,3,0,4,29,2,8,4,63,0,47,6
691,3,1,0,13,1,8,2,113,0,437,2
116,3,0,0,7,2,8,1,63,9,790,1
228,2,0,0,13,0,8,1,623,1,790,1
622,3,0,1,15,1,8,1,157,2,437,3
655,2,0,2,73,0,8,1,623,3,437,7
598,3,0,0,7,1,8,1,157,3,790,1
516,2,1,0,10,0,6,3,293,6,790,1
274,3,1,0,7,2,8,2,60,7,790,1
318,1,1,0,164,0,3,2,293,5,437,4
606,3,0,0,7,0,8,1,623,5,790,1
144,2,0,0,11,0,8,1,623,1,790,1
634,3,1,3,27,0,8,2,293,0,47,6
558,1,1,1,79,0,5,3,293,7,437,3
809,1,1,1,53,0,5,3,293,6,437,2
745,1,0,1,71,0,2,5,623,9,437,2
369,1,1,0,69,1,2,3,113,3,790,2
268,1,1,0,153,0,3,3,293,9,437,3
623,3,0,0,7,0,8,1,623,2,790,1
307,1,1,1,108,1,3,3,113,1,437,3
423,3,1,1,14,0,8,3,293,4,437,3
310,1,1,0,83,1,3,2,113,3,790,3
354,3,0,0,7,1,8,1,157,4,790,1
46,3,0,1,15,2,8,1,63,8,437,2
349,3,0,0,8,0,8,1,623,8,790,1
371,3,0,1,6,0,8,1,623,1,437,1
479,3,1,0,12,0,8,2,293,0,437,2
576,2,1,0,13,0,8,2,293,6,790,1
261,3,0,4,31,0,8,4,623,0,35,7
195,1,1,0,146,1,2,2,113,9,790,3
890,3,0,0,7,2,8,1,63,6,790,1
744,3,0,0,7,0,8,1,623,5,790,1
107,3,0,0,7,0,8,1,623,8,790,1
866,2,1,1,13,1,8,2,113,4,437,1
59,3,0,5,46,0,8,4,623,0,35,8
658,2,0,0,13,0,8,1,623,3,790,1
263,1,0,0,0,0,2,1,623,7,790,1
568,3,0,0,7,1,8,1,157,6,790,1
100,3,1,0,7,0,8,2,293,4,790,1
443,2,1,0,13,0,8,2,293,5,790,1
490,3,0,1,19,0,8,1,623,8,437,1
687,3,0,0,10,0,8,1,623,1,790,1
799,3,1,1,24,0,8,3,293,5,437,3
640,3,0,0,7,0,8,1,623,2,790,1
169,3,0,0,56,0,8,1,623,4,790,8
179,3,0,0,0,0,8,1,623,7,790,4
304,3,0,0,8,0,8,1,623,6,790,1
341,1,1,3,263,0,3,2,293,3,47,6
57,3,0,0,7,1,8,1,157,4,790,1
858,3,1,0,19,1,8,3,113,3,437,4
149,2,0,0,13,0,8,5,623,8,790,1
124,1,0,0,77,0,4,1,623,9,437,2
703,3,0,0,7,2,8,1,63,4,790,1
50,3,0,4,39,0,8,4,623,0,47,7
353,3,0,1,17,0,8,1,623,3,437,2
823,3,1,0,12,0,5,3,293,4,437,2
142,3,1,1,15,0,8,3,293,3,437,2
470,3,0,0,7,0,8,1,623,7,790,1
399,2,1,0,12,0,8,3,293,4,790,1
575,3,0,0,14,0,8,1,623,1,790,2
320,3,0,0,7,0,8,1,623,2,790,1
19,3,1,0,7,1,8,3,113,8,790,1
792,3,1,8,69,0,8,2,293,5,35,11
707,1,0,0,26,0,5,1,623,8,790,1
723,2,0,0,13,0,8,1,623,9,790,1
407,2,0,1,18,0,8,4,623,0,437,3
557,1,0,0,227,1,8,1,157,7,790,5
38,3,1,2,18,0,8,2,293,1,437,2
175,3,0,1,7,0,8,1,623,1,437,1
245,1,0,2,90,2,3,5,63,8,437,3
740,1,0,0,30,0,4,1,623,7,790,1
602,1,0,0,42,0,8,1,623,1,790,2
