,Survived,Pclass,Sex,SibSp,Fare,Embarked,Deck,Title,port_sex,Age_bin,FamilySize,Ticket_freq
0,0,3,0,1,7,0,8,1,623,2,437,1
1,1,1,1,1,71,1,3,3,113,7,437,2
2,1,3,1,0,7,0,8,2,293,4,790,1
3,1,1,1,1,53,0,3,3,293,6,437,2
4,0,3,0,0,8,0,8,1,623,6,790,1
5,0,3,0,0,8,2,8,1,63,3,790,1
6,0,1,0,0,51,0,5,1,623,9,790,2
7,0,3,0,3,21,0,8,4,623,0,47,5
8,1,3,1,0,11,0,8,3,293,4,437,3
9,1,2,1,1,30,1,8,3,113,0,437,2
10,1,3,1,1,16,0,7,2,293,0,437,3
11,1,1,1,0,26,0,3,2,293,9,790,1
12,0,3,0,0,8,0,8,1,623,2,790,1
13,0,3,0,1,31,0,8,1,623,7,35,7
14,0,3,1,0,7,0,8,2,293,0,790,1
15,1,2,1,0,16,0,8,3,293,9,790,1
16,0,3,0,4,29,2,8,4,63,0,47,6
17,1,2,0,0,13,0,8,1,623,3,790,1
18,0,3,1,1,18,0,8,3,293,5,437,2
19,1,3,1,0,7,1,8,3,113,8,790,1
20,0,2,0,0,26,0,8,1,623,6,790,2
21,1,2,0,0,13,0,4,1,623,6,790,1
22,1,3,1,0,8,2,8,2,60,0,790,1
23,1,1,0,0,35,0,1,1,623,4,790,1
24,0,3,1,3,21,0,8,2,293,0,47,5
25,1,3,1,1,31,0,8,3,293,7,35,7
26,0,3,0,0,7,1,8,1,157,7,790,1
27,0,1,0,3,263,0,3,1,623,1,47,6
28,1,3,1,0,7,2,8,2,60,3,790,1
29,0,3,0,0,7,0,8,1,623,6,790,1
30,0,1,0,0,27,1,8,5,157,7,790,1
31,1,1,1,1,146,1,2,3,113,7,437,3
32,1,3,1,0,7,2,8,2,60,2,790,1
33,0,2,0,0,10,0,8,1,623,9,790,1
34,0,1,0,1,82,1,8,1,157,4,437,2
35,0,1,0,1,52,0,8,1,623,8,437,2
36,1,3,0,0,7,1,8,1,157,8,790,1
37,0,3,0,0,8,0,8,1,623,2,790,1
38,0,3,1,2,18,0,8,2,293,1,437,2
39,1,3,1,1,11,1,8,2,113,0,437,2
40,0,3,1,1,9,0,8,3,293,7,437,1
41,0,2,1,1,21,0,8,3,293,4,437,2
42,0,3,0,0,7,1,8,1,157,8,790,1
43,1,2,1,1,41,1,8,2,113,0,437,4
44,1,3,1,0,7,2,8,2,60,1,790,1
45,0,3,0,0,8,0,8,1,623,6,790,1
46,0,3,0,1,15,2,8,1,63,8,437,2
47,1,3,1,0,7,2,8,2,60,7,790,1
48,0,3,0,2,21,1,8,1,157,7,437,3
49,0,3,1,1,17,0,8,3,293,1,437,2
50,0,3,0,4,39,0,8,4,623,0,47,7
51,0,3,0,0,7,0,8,1,623,2,790,1
52,1,1,1,1,76,1,4,3,113,9,437,3
53,1,2,1,1,26,0,8,3,293,5,437,2
54,0,1,0,0,61,1,2,1,157,9,437,2
55,1,1,0,0,35,0,3,1,623,5,790,1
56,1,2,1,0,10,0,8,2,293,2,790,1
57,0,3,0,0,7,1,8,1,157,4,790,1
58,1,2,1,1,27,0,8,2,293,0,437,4
59,0,3,0,5,46,0,8,4,623,0,35,8
60,0,3,0,0,7,1,8,1,157,2,790,1
61,1,1,1,0,80,0,2,2,293,7,790,2
62,0,1,0,1,83,0,3,1,623,8,437,2
63,0,3,0,3,27,0,8,4,623,0,47,6
64,0,1,0,0,27,1,8,1,157,6,790,1
65,1,3,0,1,15,1,8,4,157,4,437,3
66,1,2,1,0,10,0,6,3,293,5,790,1
67,0,3,0,0,8,0,8,1,623,1,790,1
68,1,3,1,4,7,0,8,2,293,1,35,1
69,0,3,0,2,8,0,8,1,623,4,437,1
70,0,2,0,0,10,0,8,1,623,6,790,1
71,0,3,1,5,46,0,8,2,293,0,35,8
72,0,2,0,0,73,0,8,1,623,2,790,7
73,0,3,0,1,14,1,8,1,157,4,437,2
74,1,3,0,0,56,0,8,1,623,6,790,8
75,0,3,0,0,7,0,6,1,623,3,790,1
76,0,3,0,0,7,0,8,1,623,5,790,1
77,0,3,0,0,8,0,8,1,623,6,790,1
78,1,2,0,0,29,0,8,4,623,0,437,3
79,1,3,1,0,12,0,8,2,293,5,790,2
80,0,3,0,0,9,0,8,1,623,2,790,1
81,1,3,0,0,9,0,8,1,623,5,790,1
82,1,3,1,0,7,2,8,2,60,7,790,1
83,0,1,0,0,47,0,8,1,623,4,790,2
84,1,2,1,0,10,0,8,2,293,1,790,1
85,1,3,1,3,15,0,8,3,293,6,437,2
86,0,3,0,1,34,0,8,1,623,0,47,5
87,0,3,0,0,8,0,8,1,623,4,790,1
88,1,1,1,3,263,0,3,2,293,3,47,6
89,0,3,0,0,8,0,8,1,623,3,790,1
90,0,3,0,0,8,0,8,1,623,5,790,1
91,0,3,0,0,7,0,8,1,623,2,790,1
92,0,1,0,1,61,0,5,1,623,8,437,2
93,0,3,0,1,20,0,8,1,623,4,437,4
94,0,3,0,0,7,0,8,1,623,9,790,1
95,0,3,0,0,8,0,8,1,623,8,790,1
96,0,1,0,0,34,1,1,1,157,9,790,1
97,1,1,0,0,63,1,4,1,157,3,437,2
98,1,2,1,0,23,0,8,3,293,6,437,2
99,0,2,0,1,26,0,8,1,623,6,437,2
100,0,3,1,0,7,0,8,2,293,4,790,1
101,0,3,0,0,7,0,8,1,623,2,790,1
102,0,1,0,0,77,0,4,1,623,2,437,2
103,0,3,0,0,8,0,8,1,623,6,790,1
104,0,3,0,2,7,0,8,1,623,7,437,1
105,0,3,0,0,7,0,8,1,623,4,790,1
106,1,3,1,0,7,0,8,2,293,2,790,1
107,1,3,0,0,7,0,8,1,623,8,790,1
108,0,3,0,0,7,0,8,1,623,7,790,1
109,1,3,1,1,24,2,8,2,60,0,437,3
110,0,1,0,0,52,0,3,1,623,8,790,2
111,0,3,1,1,14,1,8,2,113,0,437,2
112,0,3,0,0,8,0,8,1,623,2,790,1
113,0,3,1,1,9,0,8,2,293,2,437,1
114,0,3,1,0,14,1,8,2,113,1,790,2
115,0,3,0,0,7,0,8,1,623,2,790,1
116,0,3,0,0,7,2,8,1,63,9,790,1
117,0,2,0,1,21,0,8,1,623,5,437,2
118,0,1,0,0,247,1,2,1,157,3,437,3
119,0,3,1,4,31,0,8,2,293,0,35,7
120,0,2,0,2,73,0,8,1,623,2,437,7
121,0,3,0,0,8,0,8,1,623,4,790,1
122,0,2,0,1,30,1,8,1,157,6,437,2
123,1,2,1,0,13,0,5,2,293,6,790,1
124,0,1,0,0,77,0,4,1,623,9,437,2
125,1,3,0,1,11,1,8,4,157,0,437,2
126,0,3,0,0,7,2,8,1,63,3,790,1
127,1,3,0,0,7,0,8,1,623,3,790,1
128,1,3,1,1,22,1,6,2,113,0,437,3
129,0,3,0,0,6,0,8,1,623,8,790,1
130,0,3,0,0,7,1,8,1,157,6,790,1
131,0,3,0,0,7,0,8,1,623,2,790,1
132,0,3,1,1,14,0,8,3,293,8,437,2
133,1,2,1,1,26,0,8,3,293,5,437,2
134,0,2,0,0,13,0,8,1,623,3,790,1
135,0,2,0,0,15,1,8,1,157,3,790,1
136,1,1,1,0,26,0,4,2,293,1,437,1
137,0,1,0,1,53,0,3,1,623,7,437,2
138,0,3,0,0,9,0,8,1,623,0,790,2
139,0,1,0,0,79,1,2,1,157,3,790,2
140,0,3,1,0,15,1,8,3,113,3,437,3
141,1,3,1,0,7,0,8,2,293,2,790,1
142,1,3,1,1,15,0,8,3,293,3,437,2
143,0,3,0,0,6,2,8,1,63,1,790,1
144,0,2,0,0,11,0,8,1,623,1,790,1
145,0,2,0,1,36,0,8,1,623,1,437,4
146,1,3,0,0,7,0,8,1,623,4,790,1
147,0,3,1,2,34,0,8,2,293,0,47,5
148,0,2,0,0,26,0,6,1,623,7,437,3
149,0,2,0,0,13,0,8,5,623,8,790,1
150,0,2,0,0,12,0,8,5,623,9,790,1
151,1,1,1,1,66,0,3,3,293,2,437,2
152,0,3,0,0,8,0,8,1,623,9,790,1
153,0,3,0,0,14,0,8,1,623,7,437,3
154,0,3,0,0,7,0,8,1,623,8,790,1
155,0,1,0,0,61,1,8,1,157,9,437,2
156,1,3,1,0,7,2,8,2,60,0,790,1
157,0,3,0,0,8,0,8,1,623,5,790,1
158,0,3,0,0,8,0,8,1,623,4,790,1
159,0,3,0,8,69,0,8,4,623,6,35,11
160,0,3,0,0,16,0,8,1,623,8,437,2
161,1,2,1,0,15,0,8,3,293,7,790,2
162,0,3,0,0,7,0,8,1,623,4,790,1
163,0,3,0,0,8,0,8,1,623,1,790,1
164,0,3,0,4,39,0,8,4,623,0,47,7
165,1,3,0,0,20,0,8,4,623,0,437,3
166,1,1,1,0,55,0,5,3,293,6,437,2
167,0,3,1,1,27,0,8,3,293,8,47,6
168,0,1,0,0,25,0,8,1,623,1,790,1
169,0,3,0,0,56,0,8,1,623,4,790,8
170,0,1,0,0,33,0,2,1,623,9,790,1
171,0,3,0,4,29,2,8,4,63,0,47,6
172,1,3,1,1,11,0,8,2,293,0,437,3
173,0,3,0,0,7,0,8,1,623,2,790,1
174,0,1,0,0,30,1,1,1,157,9,790,1
175,0,3,0,1,7,0,8,1,623,1,437,1
176,0,3,0,3,25,0,8,4,623,3,47,5
177,0,1,1,0,28,1,3,2,113,9,790,1
178,0,2,0,0,13,0,8,1,623,5,790,1
179,0,3,0,0,0,0,8,1,623,7,790,4
180,0,3,1,8,69,0,8,2,293,5,35,11
181,0,2,0,0,15,1,8,1,157,4,790,1
182,0,3,0,4,31,0,8,4,623,0,35,7
183,1,2,0,2,39,0,6,4,623,0,437,4
184,1,3,1,0,22,0,8,2,293,0,437,3
185,0,1,0,0,50,0,1,1,623,4,790,1
186,1,3,1,1,15,2,8,3,60,0,437,2
187,1,1,0,0,26,0,8,1,623,8,790,1
188,0,3,0,1,15,2,8,1,63,7,437,2
189,0,3,0,0,7,0,8,1,623,7,790,1
190,1,2,1,0,13,0,8,3,293,6,790,1
191,0,2,0,0,13,0,8,1,623,1,790,1
192,1,3,1,1,7,0,8,2,293,1,437,1
193,1,2,0,1,26,0,6,4,623,0,437,3
194,1,1,1,0,27,1,2,3,113,8,790,1
195,1,1,1,0,146,1,2,2,113,9,790,3
196,0,3,0,0,7,2,8,1,63,6,790,1
197,0,3,0,0,8,0,8,1,623,8,437,1
198,1,3,1,0,7,2,8,2,60,4,790,1
199,0,2,1,0,13,0,8,2,293,3,790,1
200,0,3,0,0,9,0,8,1,623,4,790,1
201,0,3,0,8,69,0,8,1,623,1,35,11
202,0,3,0,0,6,0,8,1,623,6,790,1
203,0,3,0,0,7,1,8,1,157,8,790,1
204,1,3,0,0,8,0,8,1,623,1,790,1
205,0,3,1,0,10,0,7,2,293,0,437,2
206,0,3,0,1,15,0,8,1,623,6,437,2
207,1,3,0,0,18,1,8,1,157,4,790,2
208,1,3,1,0,7,2,8,2,60,1,790,1
209,1,1,0,0,31,1,1,1,157,7,790,1
210,0,3,0,0,7,0,8,1,623,3,790,1
211,1,2,1,0,21,0,8,2,293,6,790,2
212,0,3,0,0,7,0,8,1,623,2,790,1
213,0,2,0,0,13,0,8,1,623,5,790,1
214,0,3,0,1,7,2,8,1,63,1,437,1
215,1,1,1,1,113,1,4,2,113,5,437,3
216,1,3,1,0,7,0,8,2,293,4,790,1
217,0,2,0,1,27,0,8,1,623,8,437,2
218,1,1,1,0,76,1,4,2,113,6,790,2
219,0,2,0,0,10,0,8,1,623,5,790,1
220,1,3,0,0,8,0,8,1,623,1,790,1
221,0,2,0,0,13,0,8,1,623,4,790,1
222,0,3,0,0,8,0,8,1,623,9,790,1
223,0,3,0,0,7,0,8,1,623,2,790,1
224,1,1,0,1,90,0,3,1,623,7,437,2
225,0,3,0,0,9,0,8,1,623,2,790,1
226,1,2,0,0,10,0,8,1,623,1,790,1
227,0,3,0,0,7,0,8,1,623,2,790,1
228,0,2,0,0,13,0,8,1,623,1,790,1
229,0,3,1,3,25,0,8,2,293,6,47,5
230,1,1,1,1,83,0,3,3,293,6,437,2
231,0,3,0,0,7,0,8,1,623,5,790,1
232,0,2,0,0,13,0,8,1,623,9,790,1
233,1,3,1,4,31,0,8,2,293,0,35,7
234,0,2,0,0,10,0,8,1,623,3,790,1
235,0,3,1,0,7,0,8,2,293,8,790,1
236,0,2,0,1,26,0,8,1,623,8,437,2
237,1,2,1,0,26,0,8,2,293,0,437,3
238,0,2,0,0,10,0,8,1,623,1,790,1
239,0,2,0,0,12,0,8,1,623,6,790,1
240,0,3,1,1,14,1,8,2,113,2,437,2
241,1,3,1,1,15,2,8,2,60,0,437,2
242,0,2,0,0,10,0,8,1,623,5,790,1
243,0,3,0,0,7,0,8,1,623,2,790,1
244,0,3,0,0,7,1,8,1,157,5,790,1
245,0,1,0,2,90,2,3,5,63,8,437,3
246,0,3,1,0,7,0,8,2,293,3,790,1
247,1,2,1,0,14,0,8,3,293,3,437,2
248,1,1,0,1,52,0,4,1,623,7,437,2
249,0,2,0,1,26,0,8,5,623,9,437,2
250,0,3,0,0,7,0,8,1,623,4,790,1
251,0,3,1,1,10,0,7,3,293,5,437,2
252,0,1,0,0,26,0,3,1,623,9,790,1
253,0,3,0,1,16,0,8,1,623,5,437,2
254,0,3,1,0,20,0,8,3,293,8,437,3
255,1,3,1,0,15,1,8,3,113,5,437,3
256,1,1,1,0,79,1,8,3,113,0,790,2
257,1,1,1,0,86,0,2,2,293,5,790,3
258,1,1,1,0,512,1,8,2,113,6,790,4
259,1,2,1,0,26,0,8,3,293,9,437,2
260,0,3,0,0,7,2,8,1,63,7,790,1
261,1,3,0,4,31,0,8,4,623,0,35,7
262,0,1,0,1,79,0,5,1,623,9,437,3
263,0,1,0,0,0,0,2,1,623,7,790,1
264,0,3,1,0,7,2,8,2,60,7,790,1
265,0,2,0,0,10,0,8,1,623,7,790,1
266,0,3,0,4,39,0,8,1,623,1,47,7
267,1,3,0,1,7,0,8,1,623,3,437,1
268,1,1,1,0,153,0,3,3,293,9,437,3
269,1,1,1,0,135,0,3,2,293,6,790,4
270,0,1,0,0,31,0,8,1,623,2,790,2
271,1,3,0,0,0,0,8,1,623,3,790,4
272,1,2,1,0,19,0,8,3,293,8,437,2
273,0,1,0,0,29,1,3,1,157,7,437,1
274,1,3,1,0,7,2,8,2,60,7,790,1
275,1,1,1,1,77,0,4,2,293,9,437,3
276,0,3,1,0,7,0,8,2,293,8,790,1
277,0,2,0,0,0,0,8,1,623,6,790,3
278,0,3,0,4,29,2,8,4,63,0,47,6
279,1,3,1,1,20,0,8,3,293,6,437,3
280,0,3,0,0,7,2,8,1,63,9,790,1
281,0,3,0,0,7,0,8,1,623,4,790,1
282,0,3,0,0,9,0,8,1,623,1,790,1
283,1,3,0,0,8,0,8,1,623,1,790,1
284,0,1,0,0,26,0,1,1,623,7,790,1
285,0,3,0,0,8,1,8,1,157,6,790,1
286,1,3,0,0,9,0,8,1,623,5,790,1
287,0,3,0,0,7,0,8,1,623,2,790,1
288,1,2,0,0,13,0,8,1,623,8,790,1
289,1,3,1,0,7,2,8,2,60,2,790,1
290,1,1,1,0,78,0,8,2,293,4,790,3
291,1,1,1,1,91,1,2,3,113,1,437,2
292,0,2,0,0,12,1,4,1,157,7,790,1
293,0,3,1,0,8,0,8,2,293,3,790,1
294,0,3,0,0,7,0,8,1,623,3,790,1
295,0,1,0,0,27,1,8,1,157,3,790,1
296,0,3,0,0,7,1,8,1,157,3,790,1
297,0,1,1,1,151,0,3,2,293,0,437,6
298,1,1,0,0,30,0,3,1,623,7,790,1
299,1,1,1,0,247,1,2,3,113,9,437,3
300,1,3,1,0,7,2,8,2,60,7,790,1
301,1,3,0,2,23,2,8,1,63,6,437,3
302,0,3,0,0,0,0,8,1,623,1,790,4
303,1,2,1,0,12,2,5,2,60,7,790,1
304,0,3,0,0,8,0,8,1,623,6,790,1
305,1,1,0,1,151,0,3,4,623,0,437,6
306,1,1,1,0,110,1,8,2,113,5,790,4
307,1,1,1,1,108,1,3,3,113,1,437,3
308,0,2,0,1,24,1,8,1,157,5,437,2
309,1,1,1,0,56,1,5,2,113,5,790,2
310,1,1,1,0,83,1,3,2,113,3,790,3
311,1,1,1,2,262,1,2,2,113,1,47,7
312,0,2,1,1,26,0,8,3,293,4,437,2
313,0,3,0,0,7,0,8,1,623,4,790,1
314,0,2,0,1,26,0,8,1,623,8,437,3
315,1,3,1,0,7,0,8,2,293,4,790,1
316,1,2,1,1,26,0,8,3,293,3,437,2
317,0,2,0,0,14,0,8,5,623,9,790,1
318,1,1,1,0,164,0,3,2,293,5,437,4
319,1,1,1,1,134,1,5,3,113,7,437,5
320,0,3,0,0,7,0,8,1,623,2,790,1
321,0,3,0,0,7,0,8,1,623,4,790,1
322,1,2,1,0,12,2,8,2,60,5,790,1
323,1,2,1,1,29,0,8,3,293,2,437,3
324,0,3,0,8,69,0,8,1,623,2,35,11
325,1,1,1,0,135,1,3,2,113,7,790,4
326,0,3,0,0,6,0,8,1,623,9,790,1
327,1,2,1,0,13,0,4,3,293,7,790,1
328,1,3,1,1,20,0,8,3,293,5,437,3
329,1,1,1,0,57,1,2,2,113,1,437,2
330,1,3,1,2,23,2,8,2,60,7,437,3
331,0,1,0,0,28,0,3,1,623,8,790,1
332,0,1,0,0,153,0,3,1,623,7,437,3
333,0,3,0,2,18,0,8,1,623,1,437,2
334,1,1,1,1,133,0,8,3,293,4,437,2
335,0,3,0,0,7,0,8,1,623,4,790,1
336,0,1,0,1,66,0,3,1,623,5,437,2
337,1,1,1,0,134,1,5,2,113,8,790,5
338,1,3,0,0,8,0,8,1,623,8,790,1
339,0,1,0,0,35,0,0,1,623,8,790,1
340,1,2,0,1,26,0,6,4,623,0,437,3
341,1,1,1,3,263,0,3,2,293,3,47,6
342,0,2,0,0,13,0,8,1,623,4,790,1
343,0,2,0,0,13,0,8,1,623,3,790,1
344,0,2,0,0,13,0,8,1,623,7,790,1
345,1,2,1,0,13,0,6,2,293,3,790,1
346,1,2,1,0,13,0,8,2,293,7,790,1
347,1,3,1,1,16,0,8,3,293,6,437,2
348,1,3,0,1,15,0,8,4,623,0,437,3
349,0,3,0,0,8,0,8,1,623,8,790,1
350,0,3,0,0,9,0,8,1,623,3,790,1
351,0,1,0,0,35,0,3,1,623,7,790,1
352,0,3,0,1,7,1,8,1,157,0,437,1
353,0,3,0,1,17,0,8,1,623,3,437,2
354,0,3,0,0,7,1,8,1,157,4,790,1
355,0,3,0,0,9,0,8,1,623,4,790,1
356,1,1,1,0,55,0,5,2,293,2,437,2
357,0,2,1,0,13,0,8,2,293,7,790,1
358,1,3,1,0,7,2,8,2,60,7,790,1
359,1,3,1,0,7,2,8,2,60,7,790,1
360,0,3,0,1,27,0,8,1,623,7,47,6
361,0,2,0,1,27,1,8,1,157,5,437,2
362,0,3,1,0,14,1,8,3,113,8,437,2
363,0,3,0,0,7,0,8,1,623,6,790,1
364,0,3,0,1,15,2,8,1,63,1,437,2
365,0,3,0,0,7,0,8,1,623,5,790,1
366,1,1,1,1,75,1,4,3,113,9,437,2
367,1,3,1,0,7,1,8,3,113,0,790,1
368,1,3,1,0,7,2,8,2,60,4,790,1
369,1,1,1,0,69,1,2,3,113,3,790,2
370,1,1,0,1,55,1,5,1,157,3,437,2
371,0,3,0,1,6,0,8,1,623,1,437,1
372,0,3,0,0,8,0,8,1,623,1,790,1
373,0,1,0,0,135,1,8,1,157,2,790,4
374,0,3,1,3,21,0,8,2,293,0,47,5
375,1,1,1,1,82,1,8,3,113,2,437,2
376,1,3,1,0,7,0,8,2,293,2,790,1
377,0,1,0,0,211,1,3,1,157,4,437,5
378,0,3,0,0,4,1,8,1,157,2,790,1
379,0,3,0,0,7,0,8,1,623,1,790,1
380,1,1,1,0,227,1,8,2,113,8,790,5
381,1,3,1,0,15,1,8,2,113,0,437,3
382,0,3,0,0,7,0,8,1,623,6,790,1
383,1,1,1,1,52,0,8,3,293,6,437,2
384,0,3,0,0,7,0,8,1,623,3,790,1
385,0,2,0,0,73,0,8,1,623,1,790,7
386,0,3,0,5,46,0,8,4,623,0,35,8
387,1,2,1,0,13,0,8,2,293,7,790,1
388,0,3,0,0,7,2,8,1,63,4,790,1
389,1,2,1,0,12,1,8,2,113,1,790,1
390,1,1,0,1,120,0,2,1,623,7,437,4
391,1,3,0,0,7,0,8,1,623,2,790,1
392,0,3,0,2,7,0,8,1,623,4,437,1
393,1,1,1,1,113,1,4,2,113,3,437,3
394,1,3,1,0,16,0,7,3,293,3,437,3
395,0,3,0,0,7,0,8,1,623,2,790,1
396,0,3,1,0,7,0,8,2,293,5,790,1
397,0,2,0,0,26,0,8,1,623,8,790,2
398,0,2,0,0,10,0,8,5,623,3,790,1
399,1,2,1,0,12,0,8,3,293,4,790,1
400,1,3,0,0,7,0,8,1,623,7,790,1
401,0,3,0,0,8,0,8,1,623,4,790,1
402,0,3,1,1,9,0,8,2,293,2,437,1
403,0,3,0,1,15,0,8,1,623,4,437,2
404,0,3,1,0,8,0,8,2,293,2,790,1
405,0,2,0,1,21,0,8,1,623,6,437,2
406,0,3,0,0,7,0,8,1,623,9,790,1
407,1,2,0,1,18,0,8,4,623,0,437,3
408,0,3,0,0,7,0,8,1,623,2,790,1
409,0,3,1,3,25,0,8,2,293,7,47,5
410,0,3,0,0,7,0,8,1,623,5,790,1
411,0,3,0,0,6,2,8,1,63,7,790,1
412,1,1,1,1,90,2,3,2,60,6,437,3
413,0,2,0,0,0,0,8,1,623,4,790,3
414,1,3,0,0,7,0,8,1,623,8,790,1
415,0,3,1,0,8,0,8,3,293,1,790,1
416,1,2,1,1,32,0,8,3,293,6,437,3
417,1,2,1,0,13,0,8,2,293,1,437,1
418,0,2,0,0,13,0,8,1,623,5,790,1
419,0,3,1,0,24,0,8,2,293,0,437,3
420,0,3,0,0,7,1,8,1,157,0,790,1
421,0,3,0,0,7,2,8,1,63,2,790,1
422,0,3,0,0,7,0,8,1,623,5,790,1
423,0,3,1,1,14,0,8,3,293,4,437,3
424,0,3,0,1,20,0,8,1,623,1,437,3
425,0,3,0,0,7,0,8,1,623,3,790,1
426,1,2,1,1,26,0,8,3,293,4,437,2
427,1,2,1,0,26,0,8,2,293,1,790,2
428,0,3,0,0,7,2,8,1,63,3,790,1
429,1,3,0,0,8,0,5,1,623,6,790,1
430,1,1,0,0,26,0,3,1,623,5,790,1
431,1,3,1,1,16,0,8,3,293,1,437,2
432,1,2,1,1,26,0,8,3,293,8,437,2
433,0,3,0,0,7,0,8,1,623,1,790,1
434,0,1,0,1,55,0,5,1,623,9,437,2
435,1,1,1,1,120,0,2,2,293,0,437,4
436,0,3,1,2,34,0,8,2,293,2,47,5
437,1,2,1,2,18,0,8,3,293,3,47,3
438,0,1,0,1,263,0,3,1,623,9,47,6
439,0,2,0,0,10,0,8,1,623,5,790,1
440,1,2,1,1,26,0,8,3,293,8,437,3
441,0,3,0,0,9,0,8,1,623,2,790,1
442,0,3,0,1,7,0,8,1,623,3,437,1
443,1,2,1,0,13,0,8,2,293,5,790,1
444,1,3,0,0,8,0,8,1,623,6,790,1
445,1,1,0,0,81,0,1,4,623,0,437,3
